username,module,role_id,role_name,role_type,menu_permission_id
AnusornW,PSC,9,Management,ALL,21011001
AnusornW,PSC,9,Management,ALL,21011005
AnusornW,PSC,9,Management,ALL,21014001
AnusornW,PSC,9,Management,ALL,21014005
AnusornW,PSC,9,Management,ALL,22021001
AnusornW,PSC,9,Management,ALL,22021005
AnusornW,PSC,9,Management,ALL,22022001
AnusornW,PSC,9,Management,ALL,22022005
AnusornW,PSC,9,Management,ALL,22023001
AnusornW,PSC,9,Management,ALL,22023005
AnusornW,PSC,9,Management,ALL,22024001
AnusornW,PSC,9,Management,ALL,22024005
AnusornW,PSC,9,Management,ALL,22025001
AnusornW,PSC,9,Management,ALL,22025005
ChatupornS,Ref Price,2,Procurement Admin,All,30100101
ChatupornS,Ref Price,2,Procurement Admin,All,30300301
ChatupornS,Ref Price,2,Procurement Admin,All,30300509
ChatupornS,Ref Price,2,Procurement Admin,All,30400509
ChatupornS,Ref Price,2,Procurement Admin,All,30500601
ChatupornS,Ref Price,2,Procurement Admin,All,30600101
ChatupornS,PSC,2,Procurement Admin,All,30100101
ChatupornS,PSC,2,Procurement Admin,All,30300301
ChatupornS,PSC,2,Procurement Admin,All,30500601
ChatupornS,PSC,2,Procurement Admin,All,30600101
ChatupornS,PA,2,Procurement Admin,All,30100101
ChatupornS,PA,2,Procurement Admin,All,30300301
ChatupornS,PA,2,Procurement Admin,All,30500601
ChatupornS,PA,2,Procurement Admin,All,30600101
ChatupornS,PP,8,Platform Admin,All,11011001
ChatupornS,PP,8,Platform Admin,All,11012001
ChatupornS,PP,8,Platform Admin,All,11012002
ChatupornS,PP,8,Platform Admin,All,11013001
ChatupornS,PP,8,Platform Admin,All,11013003
ChatupornS,PP,8,Platform Admin,All,11013005
ChatupornS,PP,8,Platform Admin,All,11013007
ChatupornS,PP,8,Platform Admin,All,11014001
ChatupornS,PP,8,Platform Admin,All,11014005
CHULAM,PSC,9,Management,ALL,21011001
CHULAM,PSC,9,Management,ALL,21011005
CHULAM,PSC,9,Management,ALL,21014001
CHULAM,PSC,9,Management,ALL,21014005
CHULAM,PSC,9,Management,ALL,22021001
CHULAM,PSC,9,Management,ALL,22021005
CHULAM,PSC,9,Management,ALL,22022001
CHULAM,PSC,9,Management,ALL,22022005
CHULAM,PSC,9,Management,ALL,22023001
CHULAM,PSC,9,Management,ALL,22023005
CHULAM,PSC,9,Management,ALL,22024001
CHULAM,PSC,9,Management,ALL,22024005
CHULAM,PSC,9,Management,ALL,22025001
CHULAM,PSC,9,Management,ALL,22025005
DisapongK,PA,4,Procurement Manager,Specific,21011001
DisapongK,PA,4,Procurement Manager,Specific,21011005
DisapongK,PA,4,Procurement Manager,Specific,21014001
DisapongK,PA,4,Procurement Manager,Specific,21014005
DisapongK,PA,4,Procurement Manager,Specific,21014007
DisapongK,PA,4,Procurement Manager,Specific,22021001
DisapongK,PA,4,Procurement Manager,Specific,22021005
DisapongK,PA,4,Procurement Manager,Specific,22022001
DisapongK,PA,4,Procurement Manager,Specific,22022005
DisapongK,PA,4,Procurement Manager,Specific,22023001
DisapongK,PA,4,Procurement Manager,Specific,22023005
DisapongK,PA,4,Procurement Manager,Specific,22024001
DisapongK,PA,4,Procurement Manager,Specific,22024005
DisapongK,PA,4,Procurement Manager,Specific,22025001
DisapongK,PA,4,Procurement Manager,Specific,22025005
DisapongK,PA,4,Procurement Manager,Specific,90900501
JirapaS,PA,2,Procurement Admin,All,30100101
JirapaS,PA,2,Procurement Admin,All,30300301
JirapaS,PA,2,Procurement Admin,All,30500601
JirapaS,PA,2,Procurement Admin,All,30600101
JirapaS,PP,2,Procurement Admin,All,30100101
JirapaS,PP,2,Procurement Admin,All,30300301
JirapaS,PP,2,Procurement Admin,All,30500601
JirapaS,PP,2,Procurement Admin,All,30600101
Kanchanan,PSC,9,Management,ALL,21011001
Kanchanan,PSC,9,Management,ALL,21011005
Kanchanan,PSC,9,Management,ALL,21014001
Kanchanan,PSC,9,Management,ALL,21014005
Kanchanan,PSC,9,Management,ALL,22021001
Kanchanan,PSC,9,Management,ALL,22021005
Kanchanan,PSC,9,Management,ALL,22022001
Kanchanan,PSC,9,Management,ALL,22022005
Kanchanan,PSC,9,Management,ALL,22023001
Kanchanan,PSC,9,Management,ALL,22023005
Kanchanan,PSC,9,Management,ALL,22024001
Kanchanan,PSC,9,Management,ALL,22024005
Kanchanan,PSC,9,Management,ALL,22025001
Kanchanan,PSC,9,Management,ALL,22025005
KarenD,PA,2,Procurement Admin,All,30100101
KarenD,PA,2,Procurement Admin,All,30300301
KarenD,PA,2,Procurement Admin,All,30500601
KarenD,PA,2,Procurement Admin,All,30600101
KarenD,PP,8,Platform Admin,All,11011001
KarenD,PP,8,Platform Admin,All,11012001
